id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance2_1,performance2_2,performance2_3,performance2_4
296,Male,39,Shizuoka,2,33,2,3,3,2,4,4,1,4,4,3,3,4,3,3,4
297,Male,30,Gunma,4,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4
298,Male,60,Tokyo,4,33,1,3,3,2,4,3,1,2,3,2,2,3,2,2,2
299,Male,63,Akita,2,1,1,3,3,2,4,3,1,3,2,2,3,3,2,2,3
300,Female,37,Kanagawa,4,33,2,99,99,3,3,99,1,4,4,4,4,4,4,3,3
301,Female,46,Chiba,3,1,1,4,3,2,3,2,11,1,2,2,2,2,1,2,2
302,Female,26,Yamanashi,4,99,99,99,99,99,99,99,1,3,4,3,3,3,3,2,99
303,Male,50,Akita,2,33,4,4,4,4,3,4,1,4,4,4,4,4,4,4,4
304,Female,25,Tokyo,4,33,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4
305,Female,46,Miyagi,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
306,Male,61,Fukuoka,3,1,2,4,4,4,4,3,1,3,3,4,4,3,4,3,4
307,Female,36,Tokyo,2,33,2,3,4,99,4,99,4,99,99,2,99,99,99,99,99
308,Male,36,Miyagi,3,33,1,2,2,3,4,3,1,3,3,2,3,3,3,2,3
309,Male,44,Miyagi,4,2,3,2,4,3,2,4,4,4,4,4,2,4,4,4,2
310,Male,41,Saitama,4,1,1,2,2,2,4,2,3,3,4,4,3,3,4,3,4
311,Female,58,Aichi,4,33,2,4,3,3,4,4,1,2,2,2,3,3,2,2,4
312,Male,42,Hokkaido,4,33,2,4,4,2,4,3,3,3,3,3,4,3,3,2,4
313,Other,52,Fukui,3,6,2,4,3,3,4,3,1,3,2,2,3,99,99,99,99
314,Male,55,Aichi,4,1,1,4,4,3,4,3,1,3,2,2,2,3,2,2,3
315,Male,56,Hyogo,4,6,2,4,4,4,4,2,4,3,3,4,4,3,4,4,2
316,Male,65,Hyogo,4,33,4,2,3,3,2,3,4,3,3,2,4,3,3,4,4
317,Male,44,Chiba,3,1,2,4,4,4,4,3,1,2,1,1,3,2,1,1,3
318,Female,38,Kanagawa,4,33,3,4,4,4,4,4,1,4,3,2,4,4,2,2,4
319,Male,37,Osaka,4,33,2,4,4,4,4,99,1,99,2,2,2,99,99,99,99
320,Male,48,Saitama,3,33,1,4,4,3,4,3,4,4,3,2,4,4,3,2,4
321,Male,46,Tokyo,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
322,Male,52,Aomori,4,6,1,4,3,3,4,2,1,2,2,2,2,2,2,2,2
323,Male,58,Hokkaido,4,33,3,4,3,3,4,3,3,3,4,2,4,3,3,2,3
324,Female,38,Kanagawa,4,33,2,3,3,3,99,99,1,99,99,2,3,3,99,99,3
325,Female,45,Gifu,3,33,99,99,99,99,99,99,3,4,4,99,4,99,99,99,99
326,Female,30,Kyoto,4,1,1,99,99,4,4,4,1,2,1,1,99,2,1,1,99
327,Male,52,Saitama,3,1,1,4,4,3,4,4,1,3,2,3,2,3,3,2,2
328,Female,37,Hokkaido,3,1,1,4,2,3,4,4,1,99,2,1,99,99,2,1,99
329,Male,51,Saitama,4,33,1,3,4,2,4,4,4,4,4,3,4,4,4,3,4
330,Female,46,Toyama,4,1,1,4,4,4,4,4,3,4,3,4,4,3,3,3,4
331,Male,37,Ishikawa,2,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
332,Male,51,Saitama,4,33,1,3,4,2,4,4,4,4,4,3,4,4,4,3,4
333,Male,59,Osaka,4,6,1,4,4,2,4,3,1,1,2,2,3,3,2,2,3
334,Male,36,Nagano,3,33,4,2,2,4,2,4,1,4,4,3,3,4,4,4,4
335,Male,46,Niigata,4,11,3,3,2,3,3,4,1,4,3,2,3,3,3,2,3
336,Male,42,Miyagi,3,33,2,2,3,3,3,3,1,4,4,4,4,4,4,4,4
337,Female,47,Kanagawa,2,33,4,4,4,4,4,4,3,99,4,99,99,4,4,4,4
338,Male,60,Hyogo,4,4,2,4,3,3,4,2,1,4,3,3,3,3,3,2,3
339,Male,51,Saitama,4,33,1,3,4,2,4,4,4,4,4,3,4,4,4,3,4
340,Female,44,Kanagawa,1,33,3,4,4,4,4,4,3,4,4,2,3,4,3,3,99
341,Female,36,Shimane,2,1,2,99,2,99,99,2,1,3,2,2,99,3,2,2,3
342,Male,56,Chiba,4,1,1,4,4,3,4,3,1,3,2,2,3,3,2,2,3
343,Male,53,Iwate,2,1,1,4,4,2,4,2,1,4,3,3,1,3,3,3,1
344,Male,47,Mie,2,33,2,4,4,4,4,4,99,3,3,3,4,4,4,4,4
345,Female,44,Tokyo,4,33,99,3,99,99,99,3,4,4,4,3,99,3,3,2,99
346,Male,25,Kyoto,4,33,2,99,3,99,3,99,1,3,2,2,4,3,2,2,4
347,Male,41,Kyoto,2,99,3,3,3,3,3,99,99,4,4,4,4,4,4,4,3
348,Female,45,Aichi,4,1,1,4,4,3,4,2,3,3,2,1,3,3,3,2,3
349,Female,23,Gunma,4,1,1,4,3,3,4,3,1,3,2,2,4,3,2,2,4
350,Male,40,Nagano,3,1,2,4,4,3,4,4,1,3,3,2,3,3,3,2,3
351,Male,27,Kanagawa,4,1,2,3,3,3,4,3,1,2,2,1,2,2,2,1,2
352,Male,29,Shiga,2,1,2,99,99,99,99,99,99,99,99,99,99,4,99,2,99
353,Male,67,Fukuoka,2,1,1,4,3,2,4,4,1,2,2,1,4,3,1,1,4
354,Male,50,Tochigi,2,1,1,4,4,4,4,99,3,2,1,2,3,2,2,2,99
355,Male,46,Ehime,4,2,2,2,2,3,3,3,3,3,4,1,3,3,4,2,3
356,Male,40,Ibaraki,2,33,2,3,99,2,3,99,1,3,2,1,2,3,2,2,2
357,Male,49,Mie,4,3,2,2,3,2,4,3,1,3,2,3,2,2,3,3,3
358,Male,72,Shiga,4,99,3,2,3,4,3,4,1,4,4,3,3,4,4,2,4
359,Male,54,Tokushima,3,1,1,2,2,2,99,2,3,2,3,3,2,3,3,3,4
360,Male,39,Kanagawa,4,33,1,3,4,2,4,4,3,3,2,2,99,99,2,2,2
361,Male,41,Hyogo,4,1,1,4,4,2,4,3,1,2,2,1,2,99,2,2,99
362,Female,30,Yamaguchi,4,33,4,4,4,4,4,4,3,4,3,2,3,4,99,2,3
363,Female,64,Kanagawa,4,2,1,2,3,3,3,3,1,2,4,2,2,2,2,2,2
364,Female,33,Saitama,4,33,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
365,Female,49,Osaka,3,33,2,4,3,4,4,3,1,4,4,2,4,4,3,2,99
366,Male,55,Aichi,4,1,1,99,2,99,4,3,4,4,4,3,3,4,3,3,4
367,Female,26,Nagano,4,1,3,2,1,3,3,1,3,2,2,2,4,2,3,4,2
368,Female,42,Osaka,2,33,1,3,2,3,3,3,3,3,3,2,3,3,3,2,3
369,Male,55,Ehime,4,33,2,99,99,4,99,99,3,99,4,4,99,99,4,4,99
370,Male,66,Hokkaido,4,33,2,3,4,4,4,4,1,4,4,4,3,99,99,3,99
371,Female,54,Saitama,3,2,3,3,3,3,3,3,1,99,2,2,99,3,2,2,99
372,Female,52,Toyama,3,1,2,3,4,3,4,3,1,3,3,2,4,3,3,3,3
373,Female,52,Toyama,3,1,2,3,4,3,4,4,4,4,2,2,4,3,3,3,3
374,Female,38,Hyogo,4,33,2,4,4,4,4,3,1,4,2,1,2,4,2,2,2
375,Male,38,Yamanashi,4,6,3,4,4,3,4,2,3,4,4,4,4,4,4,4,4
376,Male,28,Osaka,3,33,1,4,3,2,4,2,4,2,2,1,3,2,2,1,3
377,Male,43,Iwate,4,1,1,4,3,2,4,99,3,2,4,2,2,2,2,2,3
378,Female,59,Kanagawa,2,1,2,3,3,3,4,4,3,3,3,2,2,3,3,2,2
379,Male,38,Miyagi,4,1,1,4,3,4,4,2,1,2,1,2,2,2,2,1,2
380,Female,42,Aichi,3,33,2,3,3,3,3,2,4,4,4,1,4,4,3,1,3
381,Male,37,Fukuoka,4,33,2,3,3,3,4,3,1,3,3,2,3,3,2,2,3
382,Female,56,Mie,4,33,2,3,99,3,99,3,3,4,4,4,3,4,4,4,4
383,refuse,31,Osaka,3,99,3,3,3,3,3,3,1,99,99,99,99,3,3,3,3
384,Male,33,Kanagawa,4,33,4,4,4,4,4,4,1,4,4,4,3,3,4,4,3
385,Male,29,Tokyo,4,1,1,4,4,4,4,4,3,2,1,1,3,1,1,1,4
386,Female,54,Osaka,3,33,2,3,4,3,3,4,1,3,3,3,3,3,4,3,3
387,Male,43,Osaka,2,11,4,2,3,4,2,4,1,4,4,4,4,4,4,4,4
388,Male,29,Kanagawa,4,33,2,4,4,2,4,3,1,4,2,2,4,4,2,2,3
389,Male,34,Aichi,4,33,2,99,99,4,4,99,4,4,4,4,4,4,4,2,99
390,Female,37,Fukuoka,4,33,2,99,99,99,99,99,3,3,2,2,4,2,2,2,3
391,Male,40,Chiba,3,6,2,4,4,4,4,3,5,4,4,2,4,4,2,2,4
392,Male,35,Tokyo,2,33,2,4,3,4,4,3,3,4,3,3,4,3,3,2,4
393,Female,33,Kanagawa,4,33,2,3,3,3,4,4,3,4,4,4,99,4,4,4,99
394,Female,51,Osaka,3,33,3,3,3,3,3,3,3,3,3,2,4,2,2,1,4
395,Female,20,Tochigi,3,1,1,4,4,4,4,3,11,2,3,3,4,99,2,2,4
396,Male,50,Fukuoka,4,2,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4
397,Female,73,Tochigi,2,2,2,2,3,3,3,3,1,3,3,3,2,4,3,4,2
398,Male,69,Yamagata,4,2,2,2,3,3,4,3,3,3,4,3,3,4,4,3,3
399,Male,34,Hiroshima,4,33,99,4,4,4,4,4,3,2,4,2,2,2,4,2,2
400,Male,43,Shiga,4,33,1,1,3,3,3,3,1,2,4,2,3,3,4,1,3
401,Male,28,Chiba,4,33,3,3,3,4,4,4,1,4,4,3,4,4,4,2,4
402,Female,56,Wakayama,4,6,1,2,2,2,2,1,1,4,4,4,2,4,4,4,2
403,Male,42,Kanagawa,4,33,4,4,2,4,2,2,1,4,4,4,4,4,4,4,4
404,Male,50,Tokyo,4,33,99,99,99,99,4,99,3,99,4,4,99,99,4,4,99
405,Male,51,Osaka,2,6,1,4,2,4,4,3,1,2,2,2,4,2,2,1,4
406,Male,48,Miyagi,2,1,4,4,4,4,4,4,2,99,99,99,99,2,2,2,2
407,Female,78,Wakayama,1,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
408,Female,35,Niigata,2,33,99,99,99,99,99,99,1,99,2,2,99,99,2,2,99
409,Male,63,Hiroshima,4,33,2,3,3,3,4,3,4,3,4,2,2,3,4,2,2
410,Male,40,Aichi,4,33,2,4,4,3,4,2,3,3,2,2,4,3,99,2,3
411,Male,36,Saitama,1,33,2,3,4,4,4,3,4,2,4,3,3,4,4,4,3
412,Male,46,Nagano,4,2,2,2,2,2,3,3,1,4,4,4,3,4,4,3,4
413,Male,61,Fukuoka,4,33,4,4,4,4,4,4,5,4,4,2,2,3,4,2,2
414,Male,37,Tokyo,4,33,3,4,4,4,4,2,1,4,4,4,99,4,4,4,99
415,Male,45,Wakayama,2,1,2,4,3,99,4,3,11,2,2,1,2,2,2,1,2
416,Female,65,Tokyo,4,1,2,4,4,4,4,4,1,2,3,2,4,4,3,2,4
417,Female,24,Kanagawa,4,33,1,4,3,4,4,3,1,2,4,4,3,4,4,4,4
418,Male,38,Kanagawa,1,1,2,3,4,99,4,4,99,2,99,2,2,2,99,2,2
419,Female,56,Kagoshima,3,33,1,3,4,4,4,4,3,3,4,3,4,3,3,3,4
420,Male,39,Iwate,4,3,2,3,99,4,99,99,1,4,2,2,3,3,99,99,99
421,Female,57,Fukuoka,2,33,2,4,3,3,4,3,3,4,4,3,4,3,3,3,4
422,Male,43,Tokyo,4,33,2,3,3,4,3,4,1,4,4,2,4,4,3,2,4
423,Male,57,Osaka,4,1,1,3,3,3,4,4,3,3,2,2,4,4,2,2,4
424,Female,48,Niigata,2,33,99,99,99,99,99,99,3,4,4,2,99,4,4,3,4
425,Male,61,Osaka,2,6,2,2,3,3,3,2,3,4,4,4,4,4,4,4,4
426,Male,46,Aichi,4,1,2,4,4,4,4,4,1,3,2,2,3,3,2,2,4
427,Female,46,Fukuoka,2,99,3,3,3,3,3,3,11,2,2,2,2,2,2,2,2
428,Female,49,Hyogo,3,33,2,4,3,4,4,3,3,4,3,3,3,4,4,3,3
429,Female,32,Kochi,2,1,2,3,3,3,3,3,1,3,2,2,3,3,2,2,3
430,Male,54,Ehime,4,1,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4
431,Male,49,Kanagawa,4,2,2,2,3,3,4,3,3,4,2,2,3,4,2,2,4
432,Female,50,Oita,3,1,1,4,4,3,4,3,4,2,2,2,2,2,2,2,2
433,Female,40,Tokyo,4,33,2,4,4,4,3,4,1,4,4,1,4,4,4,1,3
434,Female,36,Hokkaido,3,3,1,1,2,3,3,4,1,4,4,1,4,3,2,1,3
435,Male,48,Hyogo,4,6,2,3,3,3,3,2,4,3,3,3,3,3,3,3,3
436,Male,23,Tokyo,4,33,3,4,4,4,4,4,3,4,2,2,3,3,4,2,4
437,Female,38,Osaka,4,33,3,4,99,4,4,3,1,4,4,2,3,4,99,2,3
438,Female,21,NA,4,6,2,3,3,3,3,1,3,3,4,3,3,3,4,3,3
439,Male,47,Osaka,4,33,2,4,99,4,99,99,2,3,99,99,4,3,3,2,4
440,Male,36,Yamaguchi,4,33,2,2,3,3,4,3,4,3,2,2,3,3,2,2,3
441,Male,45,Saitama,2,33,2,4,3,4,4,3,1,3,3,4,4,4,3,3,4
442,Male,35,Kanagawa,4,33,1,3,99,2,99,2,4,2,3,2,3,2,2,2,3
443,Male,58,Nagano,4,1,1,4,4,2,4,3,3,2,2,2,3,2,2,2,3
444,Female,47,Chiba,3,2,4,2,3,4,3,2,4,3,4,3,3,4,4,3,3
445,Female,34,Yamagata,2,33,4,3,3,4,3,4,1,4,4,3,99,4,4,3,99
446,Male,47,Aichi,4,1,1,3,3,2,2,2,1,3,3,3,2,3,3,3,2
447,Female,44,Aichi,3,99,99,99,99,99,99,99,1,4,4,4,4,4,4,4,4
448,Male,40,Tokyo,4,1,4,2,3,3,3,3,4,4,3,4,2,2,2,3,3
449,Female,55,Osaka,3,33,3,3,3,3,3,4,4,3,4,4,3,3,4,2,3
450,Male,30,Saitama,4,33,2,4,4,3,4,99,3,2,2,2,2,2,2,2,2
451,Male,49,Ibaraki,2,33,2,3,2,2,2,3,1,3,3,3,3,3,3,3,3
452,Male,48,Okinawa,4,33,1,2,3,4,3,1,1,4,4,3,3,4,3,3,3
453,Female,43,Osaka,2,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
454,Male,46,Aichi,4,1,1,4,4,2,4,2,2,3,2,2,2,3,2,2,3
455,Female,48,Hyogo,3,6,2,3,3,2,4,2,4,3,3,3,3,3,3,3,3
456,Female,47,Saitama,3,33,2,4,3,4,4,3,1,4,4,4,4,4,4,4,4
457,Female,51,Osaka,3,6,2,3,3,3,3,2,1,2,3,2,4,99,99,99,99
458,Female,42,Osaka,4,1,1,4,4,4,4,2,3,3,3,3,2,3,3,3,3
459,Female,50,Hokkaido,3,5,4,3,99,4,3,4,4,3,4,3,4,4,4,3,4
460,Male,51,Hokkaido,3,33,2,4,4,3,3,3,3,3,3,4,4,3,4,3,4
461,Female,51,Kanagawa,4,99,99,99,99,99,99,99,3,99,3,3,99,3,3,3,3
462,Female,49,Fukuoka,4,33,99,99,99,99,99,99,1,4,4,4,4,4,4,4,4
463,Male,61,Fukuoka,3,1,2,99,3,4,4,3,1,4,4,4,4,2,3,3,4
464,Male,45,Osaka,4,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
465,refuse,48,Ishikawa,3,99,99,99,99,99,99,99,99,99,1,1,1,99,99,99,99
466,Male,44,Tokyo,3,33,99,99,99,4,99,99,1,99,99,99,99,99,99,99,99
467,Male,50,Saitama,3,33,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
468,Female,42,Chiba,4,33,3,4,4,4,4,4,1,4,2,1,3,4,1,1,3
469,Female,31,Kanagawa,2,99,99,99,99,99,99,99,1,99,99,99,4,99,99,99,4
470,Male,54,Shiga,4,33,2,2,4,3,99,99,3,4,4,2,99,4,4,2,99
471,Male,41,Shizuoka,4,33,4,4,4,4,4,4,3,4,3,3,2,99,3,3,99
472,Female,49,Fukuoka,4,2,2,3,3,3,4,2,1,4,4,2,2,3,3,2,2
473,Male,44,Hokkaido,2,1,2,4,3,3,4,2,3,3,3,1,3,3,3,1,3
474,Male,47,Chiba,4,33,1,4,2,4,4,4,1,2,2,2,2,2,2,2,2
475,Male,58,Kanagawa,4,1,1,4,4,4,4,4,1,2,2,1,1,1,2,1,1
476,Male,54,Saitama,3,33,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4
477,Female,33,Kanagawa,4,1,1,4,4,3,4,2,1,2,2,2,2,3,2,2,2
478,Female,39,Saitama,2,33,2,3,4,3,3,4,4,4,3,2,3,4,3,2,3
479,Male,51,Hiroshima,2,4,3,3,2,1,2,2,1,3,4,4,4,4,4,3,4
480,Male,55,Saitama,2,33,3,4,4,4,4,4,1,4,3,3,3,4,3,3,4
481,Male,40,Tokyo,2,5,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3
482,Female,46,Aichi,4,2,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4
483,Male,28,Osaka,2,6,1,3,3,2,4,1,1,4,2,2,2,4,2,2,2
484,Male,56,Ishikawa,4,1,1,4,4,3,4,4,3,2,3,2,2,3,2,2,2
485,Female,59,Osaka,3,6,99,4,99,4,4,99,3,3,3,4,3,4,4,4,4
486,Male,32,Kumamoto,4,99,2,3,4,4,4,3,1,3,3,2,2,3,3,2,2
487,Male,53,Miyagi,4,33,1,2,3,3,3,3,11,2,2,2,2,2,2,2,2
488,Male,50,Hiroshima,2,33,2,3,3,3,4,3,1,4,3,4,4,4,3,3,4
489,Male,34,Tokyo,4,33,2,4,4,4,4,3,1,4,4,4,99,4,4,4,99
490,Male,40,Hyogo,3,33,2,3,3,4,4,2,4,3,3,2,3,3,3,2,3
491,Female,62,Fukuoka,3,33,1,3,3,3,4,2,1,3,2,2,2,3,2,2,3
492,Female,62,Fukuoka,3,33,1,3,3,3,4,2,1,2,2,2,2,3,2,2,3
493,Male,36,Kyoto,4,1,1,4,3,2,4,4,3,1,1,1,1,1,1,1,1
494,Male,60,Tokyo,4,1,2,3,4,4,3,2,1,3,4,4,4,3,4,4,4
495,Male,58,Tochigi,2,6,2,4,3,3,4,3,4,2,3,2,4,99,99,99,99
496,Male,49,Miyagi,2,33,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
497,Male,61,Osaka,4,33,3,2,2,3,3,2,3,4,4,4,3,4,4,4,4
498,Male,53,Kagawa,3,1,2,4,4,3,4,4,1,4,2,1,2,4,2,1,1
499,Male,49,Kyoto,2,33,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3
500,Female,56,Osaka,3,6,1,2,2,4,4,1,1,4,4,2,4,4,4,2,4
501,Female,62,Osaka,3,2,2,2,3,3,3,3,1,3,2,3,3,3,3,2,3
502,Male,54,Tokyo,2,1,1,2,3,3,3,2,3,3,4,2,4,4,4,2,4
503,Male,55,Saitama,4,2,99,3,3,3,3,2,1,2,3,2,3,3,3,3,4
504,Male,61,Aichi,4,1,1,2,3,3,4,2,3,3,4,2,3,3,2,2,4
505,Male,31,Fukushima,4,1,2,4,4,4,4,4,3,2,2,2,3,99,99,99,99
506,Female,61,Kanagawa,2,33,4,4,99,4,99,99,3,4,4,4,4,4,4,4,4
507,Male,32,Gifu,3,1,2,4,3,4,4,3,1,3,2,1,3,4,2,2,4
508,Female,40,Hyogo,2,33,99,3,99,99,99,99,1,3,3,99,3,3,99,99,3
509,Male,48,Osaka,4,6,2,2,2,2,2,1,1,3,4,4,4,3,4,3,3
510,Female,44,Fukui,3,33,4,4,4,4,4,4,3,99,2,2,99,99,99,99,99
511,Male,61,Tokyo,3,1,1,3,3,3,4,4,1,3,1,1,2,3,2,1,3
512,Male,36,Osaka,4,1,1,4,3,3,4,3,2,2,2,2,3,2,2,2,3
513,Male,59,Toyama,4,33,1,3,4,99,4,3,1,4,2,1,3,3,2,1,3
514,Male,50,Aichi,3,33,2,3,2,4,4,2,1,3,4,3,3,3,4,3,3
515,Female,47,Nara,4,33,1,4,4,4,4,2,4,3,3,2,4,3,2,2,4
516,Female,39,Aichi,3,33,1,99,99,2,2,99,4,4,4,4,4,4,4,4,99
517,Male,66,Chiba,4,1,2,4,3,2,4,2,1,3,3,1,3,3,3,1,3
518,Male,55,Aichi,4,33,2,4,4,3,4,2,1,3,2,2,3,2,2,1,3
519,Male,63,Hiroshima,4,33,4,3,4,4,3,4,1,4,4,4,4,4,4,4,4
520,Male,65,Shiga,4,33,99,99,99,99,99,99,3,3,4,2,3,3,3,2,3
521,Female,40,Kagawa,3,33,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
522,Male,37,Tokyo,4,99,3,4,4,3,4,2,4,4,4,99,99,4,4,3,4
523,Male,61,Osaka,4,1,1,4,3,1,4,3,1,3,2,2,2,3,2,3,1
524,Male,40,Miyagi,2,4,1,3,2,2,3,2,11,99,4,4,4,4,4,4,4
525,Female,42,Aichi,2,99,99,99,99,99,99,99,4,99,99,99,99,99,99,99,99
526,Female,38,Nagasaki,4,1,1,4,3,4,3,3,1,2,2,1,4,3,2,2,4
527,Female,38,Hiroshima,3,33,99,99,99,99,99,99,3,99,99,99,99,99,99,99,99
528,Male,37,Kumamoto,4,33,1,2,2,2,3,2,3,2,3,2,3,2,3,2,3
529,Female,55,Kyoto,1,2,2,2,99,99,99,2,4,99,4,3,99,99,3,3,99
530,Male,63,Aichi,2,1,1,4,4,2,4,3,1,2,2,2,3,3,2,2,3
531,Male,64,Tokyo,4,2,2,3,2,3,4,3,3,4,2,4,4,3,3,3,3
532,Male,66,Tokyo,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
533,Male,27,Osaka,4,33,4,2,4,2,2,4,4,4,4,2,1,4,4,2,2
534,Male,36,Tokyo,4,33,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
535,Male,45,Tokyo,4,5,4,3,4,4,3,3,1,4,4,4,4,4,4,4,4
536,Male,51,Shimane,3,1,2,2,3,2,3,3,1,3,3,3,3,3,2,2,3
537,Female,46,Hokkaido,3,99,99,99,99,99,99,99,3,99,99,99,99,99,99,99,99
538,Female,63,Osaka,4,33,2,3,3,3,4,3,1,3,3,2,4,3,3,2,4
539,Female,66,Tokyo,4,33,2,3,3,3,4,3,4,3,4,3,3,3,3,3,3
540,Female,48,Saitama,3,33,2,2,2,3,3,2,3,3,3,2,3,99,99,2,99
541,Female,44,Kanagawa,4,1,1,4,4,4,4,3,1,4,4,4,4,4,2,1,3
542,Male,43,Osaka,4,33,2,2,4,3,3,3,4,3,3,2,2,3,2,2,2
543,Male,64,Chiba,4,11,2,3,4,3,4,3,3,3,4,3,4,4,3,3,4
544,Male,62,Kanagawa,4,33,2,4,4,2,4,3,4,3,3,3,3,3,3,3,3
545,Female,45,Aichi,1,33,2,3,3,3,3,3,1,4,4,4,3,4,3,3,4
546,Male,60,Tochigi,4,33,99,2,3,99,3,3,11,99,4,2,99,99,4,3,99
547,Female,21,Aichi,4,33,3,3,99,3,3,3,1,2,3,2,2,2,2,2,2
548,Female,39,Ehime,4,33,2,2,99,99,99,99,1,3,4,2,4,4,3,2,4
549,Male,62,Nara,4,1,1,4,3,3,4,3,3,3,2,1,4,3,2,1,4
550,Male,44,Kanagawa,2,2,1,2,4,4,4,4,4,4,4,4,2,99,99,4,99
551,Male,37,Hyogo,2,33,2,4,4,4,4,4,1,4,3,2,4,4,3,99,4
552,Male,46,Gifu,2,33,1,4,4,4,4,3,1,99,2,2,99,99,99,99,99
553,Male,74,Nagasaki,2,33,1,2,4,3,3,3,3,4,4,4,4,4,99,99,99
554,Male,49,Kyoto,4,6,1,3,3,3,3,2,1,3,3,2,3,4,3,2,4
555,Female,46,Aichi,4,33,2,2,2,4,4,3,1,4,4,4,4,4,4,4,4
556,Male,50,Fukuoka,4,3,2,4,4,3,4,4,4,4,4,3,3,3,3,3,3
557,Female,31,Hokkaido,2,1,2,2,99,99,99,99,4,99,2,2,99,3,2,2,3
558,Female,43,Kyoto,4,33,1,2,2,4,4,2,1,2,2,1,1,3,2,1,2
559,Male,46,Gifu,4,33,1,99,99,3,4,99,4,4,4,3,2,4,4,99,99
560,Female,21,Kanagawa,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
561,Female,71,Nara,2,33,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3
562,Female,42,Nara,3,1,1,2,2,4,3,2,1,3,2,2,2,4,2,2,2
563,Male,70,Miyagi,3,1,2,3,4,2,4,3,3,3,4,4,4,3,4,3,4
564,Female,49,Chiba,2,7,1,2,2,2,4,2,1,4,99,99,3,4,99,2,3
565,Male,46,Kanagawa,4,1,2,3,4,3,4,3,3,2,3,2,3,2,3,2,3
566,Female,50,Osaka,4,33,2,3,4,3,4,4,2,2,2,2,2,2,2,2,2
567,Male,46,Fukuoka,2,6,2,3,1,3,2,1,4,2,2,2,4,4,2,2,4
568,Male,41,Hokkaido,4,33,1,99,99,2,4,99,1,3,3,2,99,3,3,2,99
569,Male,69,Chiba,4,1,1,4,3,3,4,3,1,3,2,2,2,3,2,1,2
570,Male,32,Aichi,2,33,3,3,3,3,3,3,1,4,4,3,3,4,4,3,3
571,Female,21,Shiga,4,33,1,2,2,2,2,3,3,2,3,2,99,3,2,2,99
572,Male,37,Hyogo,4,6,2,2,3,3,4,2,1,4,4,3,3,4,4,3,3
573,Male,38,Kagoshima,2,11,2,4,4,3,4,2,3,3,3,2,4,2,3,1,4
574,Female,61,Shizuoka,2,11,2,3,3,2,3,3,3,3,4,3,3,3,3,3,3
575,Male,29,Miyazaki,3,1,2,4,3,2,4,3,1,2,3,2,2,99,2,2,99
576,Male,50,Fukuoka,4,33,2,2,3,2,4,3,4,4,4,2,4,4,4,2,4
577,Female,50,Hyogo,3,33,99,99,99,99,99,99,3,3,3,99,3,3,3,3,3
578,Female,51,Saitama,3,33,2,3,3,3,3,3,4,4,3,2,4,4,3,2,3
579,Male,35,Hiroshima,4,33,1,2,3,4,3,4,1,2,2,2,2,2,2,2,2
580,Female,50,Niigata,3,2,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4
581,Female,40,Aichi,4,1,2,2,3,3,3,2,4,3,3,3,3,4,3,2,99
582,Male,47,Toyama,2,99,2,3,3,3,2,3,1,2,2,2,3,3,2,2,3
583,Male,53,Wakayama,4,1,1,3,3,2,4,3,1,2,2,2,2,2,2,2,2
584,Male,55,Kanagawa,4,2,3,1,4,4,3,3,1,4,4,3,4,4,4,3,4
585,Female,53,Tokyo,4,33,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4
586,Male,37,Toyama,3,33,2,4,4,4,4,4,1,2,2,4,3,3,2,3,3
587,Male,54,Osaka,2,33,1,2,3,4,4,2,4,4,4,4,2,4,4,2,2
588,Female,40,Tokyo,3,33,3,3,3,4,3,3,3,4,4,2,4,4,4,2,4
589,Male,71,Hiroshima,4,1,2,2,4,3,4,3,1,4,4,1,2,4,3,1,2
590,Male,51,Tokyo,2,33,2,3,3,3,4,3,1,4,4,2,4,4,4,2,4
591,Male,52,Osaka,1,6,2,4,4,1,4,3,1,4,1,1,4,4,2,1,4
592,Male,67,Hiroshima,4,33,2,2,4,4,3,4,1,4,4,2,4,4,3,2,3
