id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance1_5
340,Male,41,Chiba,2,33,2,4,4,4,4,3,3,3,4,4,4,4
341,Male,58,Osaka,2,33,1,3,4,4,4,3,1,4,4,2,3,4
342,Male,55,Ehime,4,33,3,99,99,99,99,99,3,99,4,99,4,99
343,Female,81,Saitama,2,33,2,2,3,4,4,4,4,3,4,4,4,4
344,Female,43,Osaka,2,33,99,99,99,99,99,99,4,4,4,4,4,4
345,Female,30,Chiba,2,5,4,4,4,3,3,2,4,3,3,3,3,3
346,Male,48,Chiba,4,33,2,3,3,3,4,2,4,4,4,3,3,4
347,Male,60,Saitama,3,1,1,4,4,3,4,4,3,4,3,3,4,4
348,Male,48,Aichi,4,33,4,4,4,4,4,4,4,4,4,4,4,4
349,Male,62,Shizuoka,2,33,2,2,4,3,4,4,11,3,3,3,4,4
350,Male,40,Kyoto,4,1,2,3,2,3,3,2,3,3,2,2,3,4
351,Male,77,Hyogo,4,2,1,2,2,4,3,2,1,3,4,2,4,3
352,Male,20,Hyogo,4,5,4,3,3,4,3,3,3,3,4,3,4,3
353,Male,50,Tokyo,4,6,2,4,4,4,4,1,3,4,4,4,4,4
354,Male,47,Aichi,4,1,1,3,3,2,3,2,1,2,3,3,3,3
355,Male,37,Shizuoka,4,1,3,3,3,3,3,3,99,2,2,2,2,2
356,Female,48,Akita,2,33,3,3,3,3,4,99,1,4,4,2,4,4
357,Female,53,Aichi,2,33,2,3,3,4,4,2,1,99,3,2,3,99
358,Male,39,Iwate,4,3,2,3,99,4,3,99,1,3,4,2,3,3
359,Male,31,Gifu,4,3,99,99,99,99,99,2,3,3,3,2,3,99
360,Male,58,Fukuoka,4,33,1,4,3,2,3,3,3,4,3,2,3,4
361,Female,42,Toyama,4,33,3,4,4,4,4,2,3,4,2,3,4,4
362,Male,44,Tokyo,3,33,99,99,99,4,99,99,1,99,4,4,4,99
363,Male,26,Kanagawa,2,33,2,4,2,3,3,4,1,4,3,2,2,2
364,Female,49,Shizuoka,4,33,2,3,3,3,4,2,1,4,3,2,3,3
365,Female,21,Gifu,4,33,2,4,4,2,4,4,4,4,3,2,3,4
366,Male,47,Aichi,2,99,99,99,99,99,99,99,1,99,99,99,99,99
367,Female,28,Miyagi,3,33,2,3,3,4,4,99,1,4,4,2,3,4
368,Female,43,Kyoto,4,33,1,3,3,4,4,2,1,3,3,1,1,2
369,refuse,61,Okayama,4,99,99,99,99,99,99,99,99,99,99,99,99,99
370,Male,41,Ibaraki,4,6,2,4,2,4,4,2,1,3,3,1,3,4
371,Female,44,Fukuoka,3,33,99,99,99,99,99,99,3,99,99,2,4,99
372,Male,66,Chiba,2,99,2,4,4,2,4,3,3,3,2,3,3,3
373,Female,50,Fukui,2,33,2,99,99,2,4,99,4,3,3,3,3,4
374,Male,55,Tokyo,4,2,1,2,3,2,4,2,1,3,3,2,3,4
375,Female,48,Hyogo,4,1,1,4,4,4,4,2,3,2,2,2,2,2
376,Female,29,Hiroshima,4,6,3,2,2,2,2,1,1,4,4,2,3,3
377,Male,34,Aichi,4,33,1,2,3,4,4,2,4,4,4,2,4,4
378,Female,42,Tokyo,4,1,2,3,4,2,3,2,4,3,2,2,2,3
379,Male,55,Saitama,2,33,2,4,3,3,4,3,1,4,4,3,4,4
380,refuse,40,Tottori,3,33,99,99,99,99,99,99,99,99,3,2,4,99
381,Female,51,Kyoto,4,1,1,4,4,3,4,3,1,1,3,2,4,2
382,Male,60,Osaka,4,33,1,1,1,1,1,1,1,4,4,4,4,4
383,Female,35,Kanagawa,3,33,1,4,3,3,3,4,1,3,3,1,3,3
384,Male,57,Tokyo,4,33,2,4,4,4,4,4,1,2,2,2,3,4
385,Female,44,Saitama,2,33,4,2,3,3,4,1,4,3,4,3,4,4
386,Male,53,Miyagi,4,33,1,2,3,2,3,2,11,2,2,2,2,3
387,Female,46,Hyogo,4,99,1,3,3,3,3,2,1,3,3,3,3,3
388,Female,30,Yamaguchi,4,1,3,3,3,3,3,2,3,3,4,2,99,3
389,Female,40,Kagawa,3,33,4,3,3,4,3,4,4,4,4,4,4,4
390,Female,47,Aomori,4,33,2,3,3,3,4,3,1,3,3,4,3,3
391,Male,48,Osaka,4,6,2,2,2,2,2,1,1,2,3,2,2,4
392,Male,44,Hokkaido,3,1,2,4,4,3,4,3,1,2,3,2,2,3
393,Male,42,Saitama,4,1,2,3,3,3,4,3,1,4,4,4,4,2
394,Male,47,Hokkaido,4,33,2,4,4,4,4,4,1,4,4,3,3,4
395,Male,34,Nagano,3,33,2,3,4,2,4,2,1,2,3,2,2,4
396,Female,60,Aichi,2,33,1,2,99,4,4,99,3,99,4,2,99,99
397,Male,55,Mie,4,33,2,4,2,4,4,2,1,2,2,2,2,2
398,Female,45,Tokyo,3,33,2,4,4,4,4,3,3,4,3,1,2,3
399,Female,64,Kanagawa,4,1,2,2,2,2,2,2,3,2,3,3,3,3
400,Female,46,Osaka,3,33,2,4,3,2,4,2,1,3,3,2,2,3
401,Female,44,Aichi,2,6,1,4,3,3,4,2,3,3,2,2,2,4
402,Male,52,Kanagawa,2,33,2,4,2,2,4,2,1,3,3,99,99,3
403,Male,61,Tokyo,3,4,1,3,2,2,4,2,1,4,4,2,2,3
404,Female,51,Saitama,4,33,99,99,99,99,99,99,3,99,99,2,3,99
405,Female,44,Shiga,4,1,1,4,4,4,4,2,1,2,2,2,3,3
406,Male,58,Tochigi,2,33,1,4,2,3,4,2,1,2,2,2,2,2
407,Male,37,Tokyo,2,6,2,4,2,4,4,2,1,2,3,1,2,3
408,Female,46,Chiba,4,33,2,4,4,4,4,4,11,4,4,2,4,4
409,Male,40,Tokyo,4,1,2,4,3,2,4,2,1,2,2,1,2,2
410,Male,30,Gunma,4,3,4,4,4,4,4,4,1,4,4,4,4,4
411,Female,47,Chiba,3,2,3,2,3,2,3,1,3,3,4,2,4,3
412,Female,51,Osaka,3,33,99,99,99,99,99,2,4,4,3,1,2,99
413,Male,65,Hokkaido,2,6,1,3,2,2,4,2,2,2,3,2,2,3
414,Male,23,Chiba,4,1,2,2,2,3,3,2,4,4,2,3,3,2
415,Male,41,Osaka,4,6,2,4,4,3,4,2,4,2,4,4,4,3
416,Male,51,Saitama,4,1,1,4,4,4,4,4,4,4,4,4,4,4
417,Female,45,Tokyo,4,1,1,2,3,3,99,2,99,3,3,2,99,2
418,Male,62,Kanagawa,4,6,1,3,4,2,3,2,4,3,3,2,4,3
419,Male,65,Hyogo,4,33,4,2,2,4,3,2,11,4,3,2,3,4
420,Female,67,Shimane,2,1,2,3,2,2,3,2,3,99,3,2,2,99
421,Male,42,Wakayama,3,33,2,4,4,4,99,3,4,3,4,3,3,4
422,Female,44,Kanagawa,1,33,3,3,4,3,4,3,1,3,4,2,4,3
423,Male,41,Kanagawa,4,1,2,4,4,3,4,2,4,4,3,2,4,4
424,Male,47,Fukuoka,1,1,1,3,3,2,3,2,1,4,2,2,4,4
425,Female,56,Wakayama,4,6,1,2,2,2,2,1,1,4,4,4,4,4
426,Male,49,Tokyo,4,6,2,4,4,4,4,4,1,4,4,2,3,4
427,Male,44,Tokyo,4,33,2,3,3,3,4,3,4,2,3,2,2,4
428,Male,35,Hyogo,4,4,1,2,1,2,2,3,4,3,2,1,2,3
429,Female,37,Chiba,4,6,2,3,3,3,3,2,3,3,3,2,3,3
430,Male,56,Hyogo,3,1,2,99,99,99,99,99,1,99,99,99,99,99
431,Male,48,Osaka,4,33,1,4,4,1,4,1,4,4,4,4,4,4
432,Female,61,Kanagawa,2,33,4,4,99,4,99,2,3,4,4,4,4,4
433,Male,53,Shiga,2,33,3,3,3,4,4,3,1,4,3,3,4,3
434,Male,53,Yamaguchi,3,1,1,4,3,4,4,2,1,4,4,1,3,3
435,Male,36,Osaka,4,1,1,4,3,4,4,3,2,2,3,2,2,3
436,Female,51,Shimane,3,1,2,2,2,2,2,3,1,3,3,3,3,3
437,Male,60,Kanagawa,2,5,1,3,3,3,3,4,3,4,4,3,4,4
438,Male,66,Hokkaido,4,1,1,4,4,2,4,2,1,2,3,2,3,3
439,Female,46,Miyagi,2,33,99,99,99,99,99,99,99,99,99,99,99,99
440,Female,37,Saitama,4,4,1,4,4,1,3,2,3,2,3,2,1,4
441,Male,70,Miyagi,3,1,2,3,3,3,4,3,3,3,3,3,3,4
442,Female,40,Aichi,4,33,2,3,99,3,3,2,1,3,3,3,3,99
443,Male,58,Aichi,4,33,1,4,4,4,4,4,1,2,3,2,2,2
444,Female,46,Tokyo,4,1,2,4,4,2,4,2,1,4,4,3,3,4
445,Female,50,Hiroshima,3,33,1,99,99,99,99,99,1,99,99,99,99,99
446,Female,49,Chiba,2,1,1,3,3,2,4,3,1,4,3,2,2,99
447,Female,34,Yamagata,2,33,4,3,99,4,99,4,1,4,4,2,4,3
448,Male,43,Saitama,4,33,2,2,2,2,3,2,4,4,4,4,4,4
449,Male,52,Nagano,4,6,2,3,4,4,4,3,3,4,4,4,4,4
450,Male,47,Osaka,4,33,2,3,4,4,4,4,1,4,4,3,4,4
451,Male,32,Tokyo,2,33,2,3,3,2,4,2,1,3,3,2,3,3
452,Male,45,Aichi,2,33,99,99,99,99,99,99,1,99,99,99,99,99
453,Female,62,Shiga,2,33,2,4,4,4,4,4,4,3,3,3,4,3
454,Male,40,Aichi,4,6,2,3,3,3,3,1,4,3,2,2,4,3
455,Female,45,Aichi,4,1,2,4,4,2,4,2,1,2,2,2,3,3
456,Male,55,Mie,2,2,1,2,4,3,4,3,1,3,3,2,2,4
457,Male,42,Tokyo,3,33,2,3,4,4,4,3,4,4,3,1,4,4
458,refuse,53,Osaka,4,99,3,99,99,99,99,2,99,99,4,99,4,99
459,Female,31,Aichi,2,4,2,4,4,1,4,4,5,2,3,1,2,3
460,Male,63,Tokyo,4,33,2,4,4,4,4,3,11,3,4,3,3,3
461,Female,32,Kochi,2,1,1,3,3,3,3,3,1,2,2,2,2,2
462,Male,36,Shizuoka,4,33,2,4,2,4,4,4,4,4,99,1,4,3
463,Female,53,Kyoto,2,5,2,3,4,4,2,2,2,4,4,2,4,3
464,Male,41,Yamaguchi,4,4,1,4,3,1,4,2,1,1,1,1,1,1
465,Female,43,Chiba,4,33,4,2,2,4,2,3,1,3,3,3,4,4
466,refuse,75,Osaka,3,99,99,99,99,99,99,99,99,99,99,99,99,99
467,Male,54,Tokyo,4,11,1,4,3,4,4,3,1,2,2,2,2,2
468,Male,49,Kanagawa,4,6,2,4,3,4,4,3,1,4,3,2,2,4
469,Male,33,Mie,4,5,4,2,99,3,3,2,4,4,4,2,4,2
470,Female,59,Chiba,3,33,1,3,3,3,3,2,1,3,3,3,3,4
471,Female,30,Niigata,3,3,4,3,2,4,4,2,1,4,4,2,4,4
472,Male,53,Wakayama,4,1,1,3,3,2,4,2,1,2,2,2,2,2
473,Male,46,Fukuoka,2,1,2,3,4,2,4,3,5,3,4,2,2,99
474,Male,63,Miyagi,4,33,3,3,3,4,3,4,1,4,4,2,4,4
475,Female,49,Hyogo,3,6,2,2,3,2,3,2,4,3,4,2,3,3
476,Female,46,Fukuoka,2,33,1,1,1,1,1,1,1,1,1,1,1,1
477,Female,44,Nara,3,33,2,2,2,2,2,2,1,2,2,2,2,2
478,Male,66,Tokyo,4,2,3,4,4,4,4,4,1,4,4,4,4,99
479,Male,48,Tokyo,4,2,4,2,2,3,3,2,1,4,4,2,2,4
480,Male,50,Aichi,3,33,2,3,3,4,4,2,1,4,4,3,4,3
481,Male,58,Nagano,4,33,1,4,3,3,4,3,3,3,2,2,2,2
482,Female,60,Tokyo,4,5,2,2,3,2,2,2,4,4,4,3,2,1
483,Male,27,Kanagawa,4,1,2,3,3,3,4,3,1,3,2,1,2,99
484,Female,40,Shimane,4,33,2,99,4,3,4,4,1,4,4,1,2,3
485,Male,48,Hokkaido,2,99,99,99,99,4,4,4,1,99,3,3,3,4
486,Male,45,Tokushima,4,1,1,3,2,2,4,2,1,4,2,2,3,2
487,Male,41,Toyama,4,1,2,3,4,3,2,3,4,2,2,3,2,3
488,Male,61,Osaka,4,6,2,4,4,4,4,4,4,3,3,1,2,3
489,Male,35,Mie,2,6,3,3,3,3,3,3,4,3,3,4,3,3
490,Male,50,Osaka,2,4,1,3,2,2,2,3,1,3,3,2,4,3
491,Female,53,Kanagawa,3,1,1,4,4,2,4,4,1,2,3,1,2,4
492,Male,51,Aichi,4,1,1,4,3,3,4,3,1,2,1,1,2,2
493,Female,36,Shizuoka,3,1,1,4,4,2,4,4,1,3,3,1,2,3
494,Male,38,Miyagi,4,2,4,99,3,2,3,3,1,2,3,3,3,2
495,Male,59,Yamaguchi,2,7,3,2,2,3,3,4,1,3,3,3,3,3
496,Male,61,Saitama,4,2,2,3,4,4,4,3,1,4,3,3,4,4
497,Female,45,Gifu,3,33,99,99,99,99,99,99,99,4,4,2,4,3
498,Female,48,Niigata,2,33,99,99,4,99,99,99,4,4,4,4,99,4
499,Male,49,Gifu,2,33,2,4,99,4,4,99,1,4,3,2,2,2
500,Female,35,Kanagawa,3,6,1,99,99,99,99,1,1,99,2,1,1,99
501,Male,75,Toyama,4,1,1,4,3,4,4,3,4,3,3,2,3,3
502,Male,41,Tokyo,4,33,2,2,3,2,3,2,4,2,3,2,3,3
503,Male,53,Kanagawa,4,33,4,4,4,4,4,4,1,99,99,99,99,99
504,Female,51,Aichi,1,33,2,3,3,3,3,2,4,4,4,3,4,3
505,Female,32,Yamagata,4,33,2,4,3,4,4,2,5,3,3,1,2,3
506,Female,60,Fukui,2,1,2,4,4,4,4,3,1,3,4,2,3,99
507,Female,53,Nara,3,33,3,2,2,3,3,1,1,4,4,2,3,4
508,Male,40,Osaka,3,33,1,4,4,4,4,4,1,4,2,2,2,4
509,Male,42,Kanagawa,2,33,1,4,3,2,4,3,1,4,4,2,2,2
510,Female,60,Kanagawa,4,1,2,3,3,2,4,3,1,2,3,2,2,3
511,Male,58,Ishikawa,4,1,1,4,3,2,4,2,1,2,3,2,2,2
512,Male,48,Okinawa,4,6,2,3,3,4,4,2,1,4,4,2,4,3
513,Female,47,Kyoto,2,33,2,2,2,2,99,2,3,3,2,2,4,3
514,Male,61,Fukuoka,3,1,2,4,3,3,4,3,3,3,2,2,2,4
515,Female,55,Kanagawa,3,1,2,3,3,4,4,2,3,3,4,2,3,3
516,Female,39,Tokyo,4,33,4,3,4,4,4,4,1,4,4,2,2,4
517,Female,46,Tokyo,2,5,4,4,4,4,2,4,1,4,99,99,3,99
518,Female,26,Hyogo,2,6,3,3,3,4,3,3,1,4,99,4,4,4
519,Male,52,Hyogo,3,33,2,4,4,4,4,4,1,4,4,1,3,3
520,Male,50,Fukuoka,4,33,2,3,3,3,3,3,4,4,4,2,4,4
521,Male,53,Tokyo,4,33,2,3,4,4,4,3,4,4,4,3,3,4
522,Female,49,Kanagawa,3,33,99,99,99,99,99,99,3,4,4,2,4,3
523,Female,52,Akita,2,1,2,3,3,3,3,2,1,3,3,2,3,4
524,Male,49,Miyagi,2,33,4,3,3,4,4,3,3,4,4,4,4,4
525,Male,24,Chiba,3,6,2,3,2,2,1,1,1,3,3,2,2,99
526,Male,58,Kanagawa,4,1,2,4,4,3,4,4,3,4,4,2,4,4
527,Female,35,Kanagawa,3,3,2,4,3,4,4,2,1,4,3,2,4,2
528,Male,49,Fukuoka,4,3,2,3,1,4,4,4,4,3,4,3,4,4
529,Female,24,Tokyo,4,99,99,99,99,99,99,99,99,99,99,99,99,99
530,Male,41,Okinawa,4,33,4,4,4,4,4,4,4,4,4,3,3,99
531,Female,38,Hyogo,4,33,2,3,3,4,4,3,1,3,3,2,2,2
532,Male,46,Aichi,4,1,2,4,4,2,4,2,1,3,3,2,3,3
533,Female,50,Hiroshima,3,4,4,99,3,2,4,99,4,3,4,99,99,4
534,Male,54,Tokyo,2,33,1,3,3,2,4,3,1,4,4,4,3,4
535,Male,50,Fukuoka,4,2,4,1,4,4,1,4,3,4,4,4,4,4
536,Male,53,Aichi,4,6,1,2,3,4,4,1,1,4,4,1,4,4
537,Male,49,Gifu,4,6,2,4,4,4,4,2,1,4,4,2,4,4
538,Male,41,Kagawa,2,33,3,3,3,4,4,3,4,4,4,4,4,3
539,Male,37,Nara,2,6,1,4,4,4,4,3,1,4,2,2,4,3
540,Male,30,Tokyo,4,33,2,3,99,4,99,99,1,4,3,4,4,99
541,Male,35,Kanagawa,4,33,1,99,99,2,3,99,3,2,99,2,99,99
542,Male,79,Mie,2,1,2,3,4,4,4,4,4,3,4,2,4,3
543,Female,62,Fukuoka,3,6,1,4,3,4,4,2,1,3,2,2,2,3
544,Female,62,Fukuoka,3,6,1,4,3,4,4,2,1,3,2,2,2,3
545,Male,40,Tokyo,3,5,3,3,3,4,2,3,4,3,4,2,4,2
546,Male,35,Tokyo,2,33,2,3,3,3,3,2,1,4,4,2,2,3
547,Male,46,Aichi,4,1,1,4,4,4,4,4,1,3,3,2,2,2
548,Male,59,Kagoshima,2,2,1,2,3,3,3,3,4,4,3,4,2,4
549,Female,33,Tokyo,4,99,2,4,4,4,4,2,99,4,4,4,4,4
550,Male,58,Osaka,4,1,2,4,3,3,4,3,4,3,3,2,4,4
551,Female,37,Aichi,4,33,2,2,2,2,2,2,1,3,3,1,2,4
552,Male,59,Fukuoka,4,6,1,3,3,3,4,2,1,3,4,2,3,4
553,Female,31,Miyagi,4,33,2,2,2,3,3,2,1,4,4,2,4,4
554,Male,35,Aichi,4,33,1,4,4,4,4,3,11,4,4,1,4,2
555,Male,49,Aichi,4,6,4,2,3,4,3,1,1,4,4,4,4,3
556,Male,36,Tochigi,4,33,2,4,3,3,4,3,3,3,3,2,4,2
557,Male,31,Miyagi,3,33,2,4,2,3,4,2,1,3,4,1,4,3
558,Female,58,Hokkaido,2,33,2,3,3,3,3,3,1,2,3,2,3,3
559,Female,36,Ehime,2,1,1,4,3,4,4,4,1,2,2,1,2,2
560,Female,36,Chiba,4,6,3,4,3,4,4,1,1,4,4,4,4,4
561,Male,46,Kanagawa,4,33,1,4,4,3,4,3,11,2,2,1,3,2
562,Male,49,Iwate,2,33,2,4,3,2,4,3,1,4,4,1,2,3
563,Male,59,Kanagawa,4,1,1,3,4,3,4,3,1,2,3,2,2,2
564,refuse,35,Yamaguchi,2,33,99,99,99,99,99,99,1,4,4,4,4,4
565,Male,32,Hokkaido,4,99,99,99,99,99,99,99,99,99,99,99,99,99
566,Male,22,Fukuoka,4,6,99,99,99,99,99,2,1,99,99,99,99,4
567,Male,53,Hokkaido,4,2,1,1,3,3,4,3,1,4,4,3,4,4
568,Female,23,Aichi,4,5,3,2,4,99,2,4,3,4,4,4,4,4
569,Male,41,Fukuoka,4,11,2,4,3,3,4,3,1,2,3,3,3,3
570,Male,44,Chiba,4,33,2,4,3,4,4,3,1,99,99,1,2,2
571,Male,61,Fukuoka,3,1,1,4,1,4,4,3,99,4,3,4,3,3
572,Male,57,Saitama,4,33,2,2,3,4,4,2,3,4,3,3,3,4
573,Male,58,Hyogo,4,1,1,4,4,4,4,2,1,2,4,1,3,2
574,Male,39,Fukuoka,4,1,2,3,3,4,3,3,3,2,2,2,2,2
575,Female,28,Kyoto,2,33,2,4,99,2,4,4,1,4,4,2,2,2
576,Female,43,Aichi,4,99,2,99,99,99,99,99,99,99,3,99,99,99
577,Female,53,Gifu,4,6,1,2,2,3,3,1,1,3,3,1,2,3
578,Female,56,Fukuoka,2,99,3,2,2,3,3,2,4,3,3,2,3,3
579,Female,30,Tokyo,2,33,2,2,2,3,3,2,3,3,4,2,4,4
580,Male,60,Niigata,4,1,2,4,3,4,4,3,1,3,3,3,3,3
581,Female,45,Osaka,3,33,2,3,3,3,4,2,1,99,4,2,3,4
582,Male,52,Ehime,2,3,2,4,2,4,4,2,1,3,4,99,4,4
583,Male,49,Saitama,2,33,2,4,2,4,4,2,1,4,4,1,4,4
584,Male,48,Yamanashi,3,99,1,2,3,4,4,3,1,3,3,2,2,4
585,Male,58,Kanagawa,1,4,1,3,4,1,4,2,1,4,4,2,2,4
586,Female,51,Tokyo,4,33,4,3,3,4,4,4,1,4,4,4,4,4
587,Female,33,Hyogo,3,6,1,3,3,2,3,1,1,4,2,2,4,3
588,Female,60,Miyagi,2,2,1,3,4,2,4,4,4,4,4,4,3,3
589,Male,51,Gunma,2,1,1,4,2,3,4,4,1,4,3,3,2,4
590,Male,48,Hyogo,4,6,2,2,3,2,3,2,4,3,4,2,3,3
591,Male,42,Oita,4,11,4,4,4,4,4,3,3,2,3,2,4,4
592,Female,43,Okayama,3,33,2,4,4,4,4,3,2,4,4,2,3,4
593,Male,51,Tochigi,4,33,3,3,2,3,4,3,3,3,4,1,4,99
594,Male,39,Kanagawa,4,1,1,3,3,2,3,2,1,2,3,1,2,3
595,Female,38,Tokushima,3,33,99,99,99,99,99,99,1,99,99,99,99,99
596,Male,47,Chiba,3,6,4,4,4,4,4,3,1,4,4,4,4,4
597,Male,56,Hyogo,4,6,1,4,4,4,4,2,1,4,4,4,2,4
598,Female,44,Mie,4,33,2,2,99,3,3,2,1,2,3,2,2,99
599,Male,55,Hokkaido,4,33,4,2,3,4,2,2,4,4,4,4,4,4
600,Male,66,Ehime,4,1,1,4,4,4,4,2,4,3,3,4,2,2
601,Male,63,Iwate,4,6,1,4,4,3,4,3,4,2,3,2,3,2
602,Male,50,Shizuoka,2,33,4,4,4,4,4,4,3,4,4,2,2,4
603,Male,46,Shimane,4,1,1,4,4,4,4,4,1,4,3,2,2,4
604,Male,36,Ibaraki,4,33,4,4,4,4,4,4,1,4,4,4,4,4
605,Male,72,Yamanashi,2,6,1,4,3,2,4,2,4,3,4,3,3,3
606,Female,49,Niigata,2,1,2,4,3,4,4,2,1,4,4,2,3,3
607,Male,48,Miyagi,4,1,3,3,4,4,3,4,5,4,3,3,4,4
608,Male,46,Tochigi,2,2,4,99,99,4,4,4,4,4,3,3,3,3
609,Female,48,Niigata,3,33,3,2,99,2,99,2,5,3,3,1,2,4
610,Female,59,Tokyo,4,1,1,3,4,4,4,2,1,2,3,1,2,4
611,Male,38,Okayama,4,1,1,4,4,2,4,2,1,2,2,1,2,2
612,Male,59,Kanagawa,2,33,3,3,3,3,3,3,11,99,4,99,4,4
613,Male,42,Kanagawa,4,33,2,4,4,4,4,4,5,3,4,3,4,4
614,Female,56,Kagoshima,3,33,1,2,4,4,4,3,1,3,3,2,3,3
615,Female,39,Hyogo,4,3,2,4,2,3,3,2,1,4,4,2,2,2
616,Male,31,Tokyo,4,99,2,3,99,4,4,99,99,4,99,99,3,99
617,Female,41,Niigata,2,6,3,4,4,4,4,2,1,2,1,1,4,3
618,Male,49,Kyoto,2,33,1,4,4,4,4,4,1,3,3,2,2,3
619,Male,51,Hyogo,2,6,2,3,4,4,4,2,4,4,4,2,4,4
620,Female,42,Toyama,3,2,4,1,3,99,4,1,4,4,4,3,4,4
621,Male,29,Shiga,4,5,2,3,4,2,1,2,99,2,4,3,2,3
622,Female,24,Oita,2,2,4,2,3,3,4,3,1,3,2,3,4,3
623,Male,66,Kanagawa,4,6,2,3,3,2,4,2,1,3,3,2,2,3
624,Male,52,Kagoshima,2,5,4,4,4,4,4,4,1,99,99,99,99,99
625,Male,45,Kyoto,3,3,2,3,3,4,4,3,4,3,3,3,3,2
626,Female,55,Saitama,3,1,1,2,3,3,3,4,4,3,2,2,3,3
627,Male,31,Tokushima,4,33,2,4,3,2,4,3,1,2,3,1,2,3
628,Female,44,Gunma,2,99,1,1,2,1,99,2,99,2,2,2,2,2
629,Male,39,Osaka,4,33,1,3,1,3,4,3,4,3,4,4,4,4
630,Male,56,Chiba,4,1,1,4,4,4,4,4,1,2,3,1,2,3
631,Male,35,Fukushima,2,33,3,3,3,4,4,2,4,4,4,3,4,3
632,Male,39,Tokyo,4,33,99,4,4,99,4,4,99,99,4,99,99,99
633,Female,71,Hyogo,2,2,2,2,3,99,3,2,4,99,99,2,3,3
634,Male,40,Fukushima,2,1,1,2,3,2,3,3,4,2,3,2,1,3
635,Male,43,Fukuoka,4,6,2,3,3,4,3,3,1,4,4,4,4,3
636,Female,22,Shiga,4,33,1,99,2,99,99,99,3,2,2,1,2,99
637,Female,36,Chiba,4,33,2,4,99,3,4,2,4,3,4,2,3,2
638,Male,57,Kumamoto,2,1,1,3,3,4,4,1,1,2,3,1,3,4
639,Male,61,Aichi,4,6,1,3,3,2,4,2,3,4,3,2,3,4
640,Male,46,Gunma,4,11,4,3,3,4,4,1,1,4,4,2,4,4
641,Male,40,Aichi,3,33,4,4,4,3,2,1,3,1,4,3,4,3
642,Male,33,Osaka,4,1,1,4,3,2,4,2,1,3,3,2,2,2
643,Male,48,Tokyo,4,33,2,4,4,4,3,3,11,3,3,3,3,3
644,Female,56,Hokkaido,2,99,2,2,3,3,3,2,3,3,99,2,99,3
645,Female,70,Yamaguchi,2,4,2,4,4,1,4,4,1,3,3,2,99,4
646,Female,29,Fukushima,2,99,1,1,1,1,2,1,99,3,3,3,1,3
647,Male,45,Osaka,4,6,1,4,3,3,4,1,1,2,3,1,3,2
648,Male,34,Mie,4,33,99,99,99,99,99,99,1,4,4,2,4,99
649,Male,66,Kanagawa,4,1,2,99,3,3,4,2,1,2,4,1,3,2
650,Female,53,Tokyo,3,33,4,4,4,4,4,4,3,4,4,4,4,4
651,Male,42,Hokkaido,3,33,2,3,3,3,3,3,1,3,4,2,4,3
652,Male,50,Hyogo,3,6,4,4,4,4,4,3,1,4,4,4,4,4
653,Female,42,Iwate,2,33,99,99,99,99,99,99,1,99,4,99,99,99
654,Male,35,Saitama,4,33,1,4,4,4,4,4,3,2,4,2,3,4
655,Male,24,Aichi,2,1,99,99,99,99,99,99,1,4,4,3,3,3
656,Male,62,Fukushima,2,33,2,4,3,2,3,2,1,2,3,2,3,3
657,Male,39,Aichi,4,11,2,2,2,2,3,2,2,3,3,3,3,3
658,Female,40,Tokyo,3,33,3,4,4,4,4,3,1,3,4,2,4,4
659,Male,51,Kyoto,2,1,2,3,4,3,4,3,1,2,4,2,3,3
660,Female,73,Tochigi,2,2,99,99,99,4,4,4,1,3,3,2,3,3
661,Male,22,Tokyo,4,33,4,4,2,4,3,3,4,4,4,2,3,3
662,Male,31,Saitama,4,33,2,4,4,4,4,4,3,3,3,3,3,3
663,Female,44,Osaka,3,33,2,2,2,3,3,2,3,3,3,2,4,3
664,Male,50,Fukuoka,4,1,1,4,4,3,4,4,1,3,2,1,2,3
665,Female,40,Miyagi,4,2,4,2,3,4,3,2,4,4,4,2,4,4
666,Female,26,Kanagawa,4,1,1,4,4,4,4,1,99,1,1,1,1,1
667,Female,47,Osaka,4,33,2,3,3,4,4,3,4,99,4,2,4,4
668,Female,41,Osaka,2,33,2,99,99,4,99,2,4,4,4,3,4,4
669,Female,31,Fukushima,3,1,3,3,3,4,4,4,4,4,4,99,4,99
670,Female,51,Tokyo,4,33,2,3,99,4,99,99,3,3,4,2,2,99
671,Female,30,Tokyo,4,1,1,4,4,4,4,3,2,2,3,1,3,4
672,Female,26,Hyogo,4,33,4,4,4,4,4,4,99,3,3,2,3,3
673,Male,36,Hyogo,3,6,3,3,3,3,3,2,1,3,3,2,3,4
674,Female,54,Saitama,3,33,2,2,2,3,2,2,1,99,4,99,4,99
675,Male,46,Saitama,4,33,1,3,4,3,4,3,3,3,3,3,3,3
676,Male,75,Okayama,2,33,2,4,3,4,4,3,1,4,3,2,3,4
677,Male,49,Aichi,4,3,1,4,2,1,4,2,1,3,4,1,2,4
678,Female,49,Wakayama,4,6,1,4,4,4,4,2,1,2,3,1,3,2
679,Male,59,Osaka,4,6,1,4,4,3,4,4,1,3,4,2,4,3
680,Male,50,Tochigi,2,1,1,4,4,4,4,3,1,2,99,2,2,2
